site,mx,my,mz,atom
431,0.7400678,0.33280984,0.584412,1
432,0.75344795,-0.09041622,0.65126115,1
433,0.7274398,-0.49356142,0.47668487,1
434,0.6307501,-0.77194303,0.07910895,1
435,0.4437815,-0.79407495,-0.4153347,1
436,0.2412146,-0.575234,-0.7816146,1
437,0.100904986,-0.2918989,-0.95111156,1
438,0.013927087,-0.033963535,-0.99932605,1
439,-0.06318675,0.22038129,-0.97336507,1
440,-0.17584658,0.507575,-0.8434724,1
441,-0.34989658,0.7764212,-0.5241589,1
442,-0.5362507,0.84373194,-0.023486946,1
443,-0.6457488,0.6239704,0.4400789,1
444,-0.679014,0.23860735,0.694267,1
445,-0.6757546,-0.19246824,0.71155584,1
446,-0.6406965,-0.59262514,0.4881634,1
447,-0.5379682,-0.8420879,0.038446587,1
448,-0.3569696,-0.80355656,-0.4763083,1
449,-0.18022321,-0.54902166,-0.8161463,1
450,-0.06800168,-0.2873648,-0.9554042,1
451,-0.015045753,-0.10536546,-0.99431974,1
452,-0.010932191,0.0071080932,-0.999915,1
453,-0.057224914,0.078405425,-0.9952778,1
454,-0.15596476,0.12397473,-0.9799517,1
455,-0.29212615,0.13800684,-0.9463701,1
456,-0.42490527,0.10491113,-0.89913803,1
457,-0.5032486,0.02563622,-0.8637613,1
458,-0.493965,-0.06709204,-0.8668895,1
459,-0.39882398,-0.12344878,-0.90868026,1
460,-0.25026193,-0.109393835,-0.96197814,1
461,-0.083933495,-0.026726753,-0.9961129,1
462,0.09098071,0.093331076,-0.99146956,1
463,0.2862678,0.20258324,-0.93648857,1
464,0.49422956,0.24406603,-0.8343674,1
465,0.6661527,0.18112344,-0.72348803,1
466,0.74484605,0.0333957,-0.66640013,1
467,0.7042822,-0.12906693,-0.698089,1
468,0.56134707,-0.23257482,-0.7942282,1
469,0.37072647,-0.24528849,-0.8957653,1
470,0.19953391,-0.18581638,-0.9621115,1
471,0.08709857,-0.08800684,-0.99230474,1
472,0.03569358,0.040002424,-0.99856186,1
473,0.033786416,0.22233593,-0.97438455,1
474,0.07523082,0.48961142,-0.8686893,1
475,0.16083397,0.80479634,-0.57134515,1
476,0.2673841,0.96303207,-0.03278759,1
477,0.3352473,0.7875435,0.51709235,1
478,0.35594296,0.4023215,0.8434702,1
479,0.35987055,-0.0369182,0.93227154,1
480,0.35834524,-0.47236776,0.8052685,1
481,0.33381754,-0.8356827,0.43611965,1
482,0.256583,-0.95705307,-0.13496165,1
483,0.14776666,-0.75071776,-0.64388496,1
484,0.062224545,-0.4216828,-0.90460587,1
485,0.0006226441,-0.13729812,-0.9905296,1
486,-0.07012124,0.097191125,-0.9927925,1
487,-0.19042511,0.32132855,-0.927624,1
488,-0.39127067,0.52919495,-0.752901,1
489,-0.64589363,0.62422144,-0.43951002,1
490,-0.85704046,0.50875705,-0.0815349,1
491,-0.9647955,0.21144648,0.15639727,1
492,-0.9717073,-0.15775256,0.17578146,1
493,-0.87906116,-0.4755506,-0.033213522,1
494,-0.6796877,-0.6222754,-0.3883272,1
495,-0.419185,-0.5503103,-0.72210974,1
496,-0.19306108,-0.35546166,-0.9145351,1
497,-0.03941701,-0.16965911,-0.9847142,1
498,0.05814187,-0.047506258,-0.99717736,1
499,0.11177311,0.012017828,-0.9936611,1
500,0.11797567,0.029016359,-0.9925925,1
501,0.07325992,0.025916813,-0.9969761,1
502,-0.010330747,0.016425777,-0.99981177,1
503,-0.10240903,0.002444763,-0.9947394,1
504,-0.16682994,-0.016073354,-0.9858547,1
505,-0.179937,-0.028290754,-0.98327124,1
506,-0.13883966,-0.011553953,-0.9902475,1
507,-0.053120144,0.057417657,-0.9969361,1
508,0.07467422,0.18965128,-0.9790078,1
509,0.26030508,0.36726457,-0.8929491,1
510,0.5102967,0.5140182,-0.68948,1
511,0.7665904,0.5116597,-0.3879994,1
512,0.94166934,0.31491876,-0.11868059,1
513,0.81866866,-0.0021764827,-0.57426214,1
514,0.75125,-0.18569945,-0.63335544,1
515,0.5807757,-0.28689796,-0.7618328,1
516,0.37087294,-0.2796675,-0.8855729,1
517,0.19368166,-0.19490698,-0.9615086,1
518,0.08359485,-0.0723975,-0.99386644,1
519,0.03558595,0.08408144,-0.99582326,1
520,0.03428653,0.3045466,-0.95188016,1
521,0.07115445,0.6103879,-0.78890026,1
522,0.14036143,0.9107157,-0.3884528,1
523,0.21047758,0.95538545,0.20721474,1
524,0.24397886,0.6744336,0.69685984,1
525,0.25204548,0.2529208,0.93407935,1
526,0.25455645,-0.1924256,0.94772017,1
527,0.2520447,-0.62032145,0.7427481,1
528,0.2253006,-0.93143964,0.28576186,1
529,0.15818231,-0.93602777,-0.31437305,1
530,0.08224975,-0.65180445,-0.75391376,1
531,0.025951385,-0.32475573,-0.94544184,1
532,-0.025737694,-0.063317314,-0.99766153,1
533,-0.10592173,0.15439768,-0.9823146,1
534,-0.2512104,0.36045846,-0.8983112,1
535,-0.47783175,0.52536005,-0.70404094,1
536,-0.73262554,0.5500493,-0.40088096,1
537,-0.92009026,0.37772104,-0.103733994,1
538,-0.996865,0.064928226,0.04521691,1
539,-0.96176505,-0.27296612,-0.022306683,1
540,-0.81295395,-0.5106328,-0.27992857,1
541,-0.5698288,-0.5555795,-0.60549694,1
542,-0.31172234,-0.42562154,-0.8495149,1
543,-0.112869285,-0.23909403,-0.9644141,1
544,0.022677448,-0.089302234,-0.9957464,1
545,0.11376629,-0.0032057397,-0.9935024,1
546,0.16300805,0.026921228,-0.9862574,1
547,0.16139802,0.022555541,-0.98663163,1
548,0.10743559,0.0066996077,-0.9941895,1
549,0.018996993,-0.00754233,-0.9997911,1
550,-0.07020714,-0.019094089,-0.9973497,1
551,-0.12682761,-0.028020104,-0.991529,1
552,-0.13340208,-0.023721168,-0.9907781,1
553,-0.09066307,0.014871952,-0.9957706,1
554,-0.005417407,0.10923774,-0.9940009,1
555,0.12745808,0.26830116,-0.95486593,1
556,0.32758006,0.46326536,-0.823454,1
557,0.5862635,0.59176767,-0.55326873,1
558,0.82217264,0.5308037,-0.20562012,1
559,0.9601055,0.27363437,0.057634432,1
560,0.98985356,-0.078047164,0.11873759,1
561,0.9154992,-0.4000994,-0.042209845,1
562,0.73350996,-0.5786143,-0.35660717,1
563,0.4812574,-0.55364376,-0.6796101,1
564,0.25412062,-0.3825595,-0.88829666,1
565,0.10798709,-0.17128743,-0.9792852,1
566,0.027334686,0.046225373,-0.99855703,1
567,-0.024513986,0.3016613,-0.95309997,1
568,-0.08099358,0.6225464,-0.7783804,1
569,-0.15897334,0.9176819,-0.3641256,1
570,-0.23144177,0.9452069,0.23025806,1
571,-0.2608896,0.6573682,0.70696795,1
572,-0.26084098,0.23861423,0.93542784,1
573,-0.25372684,-0.2027841,0.9457808,1
574,-0.24318282,-0.62801224,0.7392312,1
575,-0.2125396,-0.9359956,0.28060514,1
576,-0.14676777,-0.93664426,-0.3180516,1
577,-0.07667043,-0.6547524,-0.75194484,1
578,-0.03595895,-0.3418566,-0.93906397,1
579,-0.03132967,-0.111442365,-0.99327695,1
580,-0.06987958,0.051242657,-0.99623847,1
581,-0.16687232,0.17964864,-0.9694741,1
582,-0.33259884,0.27789882,-0.9011938,1
583,-0.5439394,0.30993322,-0.77978927,1
584,-0.73472756,0.2349028,-0.6363931,1
585,-0.83603686,0.060926963,-0.54528,1
