site,mx,my,mz,atom
494,-0.6796877,-0.62227535,-0.3883272,1
495,-0.41918492,-0.5503105,-0.7221096,1
496,-0.19306111,-0.35546178,-0.91453505,1
497,-0.039417006,-0.16965906,-0.9847142,1
498,0.058141887,-0.047506277,-0.99717736,1
499,0.11177312,0.012017832,-0.99366105,1
500,0.11797562,0.02901634,-0.99259245,1
501,0.07325993,0.025916807,-0.9969761,1
502,-0.010330744,0.016425775,-0.9998117,1
503,-0.10240904,0.002444765,-0.99473935,1
504,-0.16682988,-0.016073357,-0.9858546,1
505,-0.17993695,-0.02829076,-0.98327124,1
506,-0.13883962,-0.0115539525,-0.9902475,1
507,-0.053120177,0.05741771,-0.996936,1
508,0.07467427,0.18965133,-0.9790078,1
509,0.26030514,0.3672645,-0.89294904,1
510,0.5102924,0.5140223,-0.68948,1
511,0.7665905,0.5116596,-0.38799933,1
512,0.9416693,0.31491867,-0.118680544,1
513,0.81866854,-0.002176483,-0.57426214,1
514,0.75125,-0.18569936,-0.63335556,1
515,0.58077586,-0.28689805,-0.7618326,1
516,0.37087288,-0.27966753,-0.8855729,1
517,0.19368152,-0.19490689,-0.9615086,1
518,0.08359486,-0.07239746,-0.99386644,1
519,0.035585925,0.084081456,-0.99582326,1
520,0.034286536,0.30454645,-0.9518802,1
521,0.07115445,0.610388,-0.7889002,1
522,0.14036137,0.91071576,-0.38845268,1
523,0.21047756,0.9553854,0.20721471,1
524,0.24397884,0.67443365,0.69685984,1
525,0.2520454,0.25292078,0.9340793,1
526,0.2545564,-0.19242547,0.94772017,1
527,0.25204462,-0.6203215,0.742748,1
528,0.22530064,-0.9314397,0.28576174,1
529,0.15818226,-0.93602777,-0.31437302,1
530,0.082249746,-0.65180445,-0.75391376,1
531,0.025951378,-0.3247557,-0.94544184,1
532,-0.0257377,-0.06331733,-0.99766153,1
533,-0.10592174,0.15439777,-0.9823145,1
534,-0.2512102,0.36045855,-0.8983112,1
535,-0.4778316,0.5253599,-0.704041,1
536,-0.7326257,0.5500492,-0.40088084,1
537,-0.9200903,0.3777208,-0.10373398,1
538,-0.996865,0.06492823,0.04521691,1
539,-0.961765,-0.27296603,-0.022306694,1
540,-0.812954,-0.51063275,-0.27992862,1
541,-0.5698289,-0.5555794,-0.605497,1
542,-0.3117222,-0.4256215,-0.84951496,1
543,-0.112869315,-0.23909406,-0.9644141,1
544,0.022677448,-0.08930225,-0.9957464,1
545,0.11376625,-0.0032057366,-0.9935023,1
546,0.16300803,0.026921239,-0.98625743,1
547,0.16139796,0.02255554,-0.9866316,1
548,0.10743563,0.0066996063,-0.9941895,1
549,0.018996993,-0.007542329,-0.9997911,1
550,-0.070207156,-0.01909409,-0.9973497,1
551,-0.12682763,-0.02802011,-0.991529,1
552,-0.13340203,-0.023721153,-0.9907781,1
553,-0.09066302,0.014871952,-0.9957706,1
554,-0.00541741,0.10923776,-0.9940009,1
555,0.12745817,0.2683012,-0.95486593,1
556,0.32757992,0.46326536,-0.8234541,1
557,0.5862638,0.5917673,-0.5532687,1
558,0.82217264,0.53080374,-0.20562,1
559,0.9601055,0.27363446,0.057634417,1
560,0.9898535,-0.07804717,0.11873759,1
561,0.9154992,-0.4000993,-0.042209737,1
562,0.7335099,-0.57861435,-0.35660702,1
563,0.48125735,-0.5536435,-0.6796103,1
564,0.25412062,-0.38255945,-0.88829666,1
565,0.10798711,-0.17128746,-0.9792852,1
566,0.027334671,0.046225365,-0.998557,1
567,-0.02451399,0.30166125,-0.95309997,1
568,-0.08099362,0.6225466,-0.7783802,1
569,-0.15897332,0.9176819,-0.3641256,1
570,-0.23144172,0.9452068,0.23025796,1
571,-0.26088956,0.65736824,0.70696783,1
572,-0.26084098,0.23861434,0.9354278,1
573,-0.25372696,-0.20278403,0.9457808,1
574,-0.24318281,-0.6280122,0.7392313,1
575,-0.21253966,-0.9359955,0.28060517,1
576,-0.14676774,-0.93664414,-0.31805173,1
577,-0.076670386,-0.65475243,-0.7519448,1
578,-0.03595896,-0.34185654,-0.93906397,1
579,-0.031329665,-0.111442395,-0.99327695,1
580,-0.06987959,0.051242687,-0.9962384,1
